x: 27,8000	f: 0,0000
x: 27,9000	f: 0,0000
x: 28,0000	f: 0,0000
x: 28,1000	f: 0,0000
x: 28,2000	f: 0,0000
x: 28,3000	f: 0,0000
x: 28,4000	f: 0,0000
x: 28,5000	f: 0,0000
x: 28,6000	f: 0,0000
x: 28,7000	f: 0,0000
x: 28,8000	f: 0,0000
x: 28,9000	f: 0,0000
x: 29,0000	f: 0,0000
x: 29,1000	f: 0,0000
x: 29,2000	f: 0,0000
x: 29,3000	f: 0,0000
x: 29,4000	f: 0,0000
x: 29,5000	f: 0,0000
x: 29,6000	f: 0,0000
x: 29,7000	f: 0,0000
x: 29,8000	f: 0,0000
x: 29,9000	f: 0,0000
x: 30,0000	f: 0,0000
x: 30,1000	f: 0,0000
x: 30,2000	f: 0,0000
x: 30,3000	f: 0,0000
x: 30,4000	f: 0,0000
x: 30,5000	f: 0,0000
x: 30,6000	f: 0,0000
x: 30,7000	f: 0,0000
x: 30,8000	f: 0,0000
x: 30,9000	f: 0,0000
x: 31,0000	f: 0,0000
x: 31,1000	f: 0,0000
x: 31,2000	f: 0,0000
x: 31,3000	f: 0,0000
x: 31,4000	f: 0,0000
x: 31,5000	f: 0,0000
x: 31,6000	f: 0,0000
x: 31,7000	f: 0,0000
x: 31,8000	f: 0,0000
x: 31,9000	f: 0,0000
x: 32,0000	f: 0,0000
x: 32,1000	f: 0,0000
x: 32,2000	f: 0,0000
x: 32,3000	f: 0,0000
x: 32,4000	f: 0,0000
x: 32,5000	f: 0,0000
x: 32,6000	f: 0,0000
x: 32,7000	f: 0,0000
x: 32,8000	f: 0,0000
x: 32,9000	f: 0,0000
x: 33,0000	f: 0,0000
x: 33,1000	f: 0,0000
x: 33,2000	f: 0,0000
x: 33,3000	f: 0,0000
x: 33,4000	f: 0,0000
x: 33,5000	f: 0,0000
x: 33,6000	f: 0,0000
x: 33,7000	f: 0,0000
x: 33,8000	f: 0,0000
x: 33,9000	f: 0,0000
x: 34,0000	f: 0,0000
x: 34,1000	f: 0,0000
x: 34,2000	f: 0,0000
x: 34,3000	f: 0,0000
x: 34,4000	f: 0,0000
x: 34,5000	f: 0,0000
x: 34,6000	f: 0,0000
x: 34,7000	f: 0,0000
x: 34,8000	f: 0,0000
x: 34,9000	f: 0,0000
x: 35,0000	f: 0,0000
x: 35,1000	f: 0,0000
x: 35,2000	f: 0,0000
x: 35,3000	f: 0,0000
x: 35,4000	f: 0,0000
x: 35,5000	f: 0,0000
x: 35,6000	f: 0,0000
x: 35,7000	f: 0,0000
x: 35,8000	f: 0,0000
x: 35,9000	f: 0,0000
x: 36,0000	f: 0,0000
x: 36,1000	f: 0,0000
x: 36,2000	f: 0,0000
x: 36,3000	f: 0,0000
x: 36,4000	f: 0,0000
x: 36,5000	f: 0,0000
x: 36,6000	f: 0,0000
x: 36,7000	f: 0,0000
x: 36,8000	f: 0,0000
x: 36,9000	f: 0,0000
x: 37,0000	f: 0,0000
x: 37,1000	f: 0,0000
x: 37,2000	f: 0,0000
x: 37,3000	f: 0,0000
x: 37,4000	f: 0,0000
x: 37,5000	f: 0,0000
x: 37,6000	f: 0,0000
x: 37,7000	f: 0,0000
x: 37,8000	f: 0,0000
x: 37,9000	f: 0,0000
x: 38,0000	f: 0,0000
x: 38,1000	f: 0,0000
x: 38,2000	f: 0,0000
x: 38,3000	f: 0,0000
x: 38,4000	f: 0,0000
x: 38,5000	f: 0,0000
x: 38,6000	f: 0,0000
x: 38,7000	f: 0,0000
x: 38,8000	f: 0,0000
x: 38,9000	f: 0,0000
x: 39,0000	f: 0,0000
x: 39,1000	f: 0,0000
x: 39,2000	f: 0,0000
x: 39,3000	f: 0,0000
x: 39,4000	f: 0,0000
x: 39,5000	f: 0,0000
x: 39,6000	f: 0,0000
x: 39,7000	f: 0,0000
x: 39,8000	f: 0,0000
x: 39,9000	f: 0,0000
x: 40,0000	f: 0,0000
x: 40,1000	f: 0,0000
x: 40,2000	f: 0,0000
x: 40,3000	f: 0,0000
x: 40,4000	f: 0,0000
x: 40,5000	f: 0,0000
x: 40,6000	f: 0,0000
x: 40,7000	f: 0,0000
x: 40,8000	f: 0,0000
x: 40,9000	f: 0,0000
x: 41,0000	f: 0,0000
x: 41,1000	f: 0,0000
x: 41,2000	f: 0,0000
x: 41,3000	f: 0,0000
x: 41,4000	f: 0,0000
x: 41,5000	f: 0,0000
x: 41,6000	f: 0,0000
x: 41,7000	f: 0,0000
x: 41,8000	f: 0,0000
x: 41,9000	f: 0,0000
x: 42,0000	f: 0,0000
x: 42,1000	f: 0,0000
x: 42,2000	f: 0,0000
x: 42,3000	f: 0,0000
x: 42,4000	f: 0,0000
x: 42,5000	f: 0,0000
x: 42,6000	f: 0,0000
x: 42,7000	f: 0,0000
x: 42,8000	f: 0,0000
x: 42,9000	f: 0,0000
x: 43,0000	f: 0,0000
x: 43,1000	f: 0,0000
x: 43,2000	f: 0,0000
x: 43,3000	f: 0,0000
x: 43,4000	f: 0,0000
x: 43,5000	f: 0,0000
x: 43,6000	f: 0,0000
x: 43,7000	f: 0,0000
x: 43,8000	f: 0,0000
x: 43,9000	f: 0,0000
x: 44,0000	f: 0,0000
x: 44,1000	f: 0,0000
x: 44,2000	f: 0,0000
x: 44,3000	f: 0,0000
x: 44,4000	f: 0,0000
x: 44,5000	f: 0,0000
x: 44,6000	f: 0,0000
x: 44,7000	f: 0,0000
x: 44,8000	f: 0,0000
x: 44,9000	f: 0,0000
x: 45,0000	f: 0,0000
x: 45,1000	f: 0,0000
x: 45,2000	f: 0,0000
x: 45,3000	f: 0,0000
x: 45,4000	f: 0,0000
x: 45,5000	f: 0,0000
x: 45,6000	f: 0,0000
x: 45,7000	f: 0,0000
x: 45,8000	f: 0,0000
x: 45,9000	f: 0,0000
x: 46,0000	f: 0,0000
x: 46,1000	f: 0,0000
x: 46,2000	f: 0,0000
x: 46,3000	f: 0,0000
x: 46,4000	f: 0,0000
x: 46,5000	f: 0,0000
x: 46,6000	f: 0,0000
x: 46,7000	f: 0,0000
x: 46,8000	f: 0,0000
x: 46,9000	f: 0,0000
x: 47,0000	f: 0,0000
x: 47,1000	f: 0,0000
x: 47,2000	f: 0,0000
x: 47,3000	f: 0,0000
x: 47,4000	f: 0,0000
x: 47,5000	f: 0,0000
x: 47,6000	f: 0,0000
x: 47,7000	f: 0,0000
x: 47,8000	f: 0,0000
x: 47,9000	f: 0,0000
x: 48,0000	f: 0,0000
x: 48,1000	f: 0,0000
x: 48,2000	f: 0,0000
x: 48,3000	f: 0,0000
x: 48,4000	f: 0,0000
x: 48,5000	f: 0,0000
x: 48,6000	f: 0,0000
x: 48,7000	f: 0,0000
x: 48,8000	f: 0,0000
x: 48,9000	f: 0,0000
x: 49,0000	f: 0,0000
x: 49,1000	f: 0,0000
x: 49,2000	f: 0,0000
x: 49,3000	f: 0,0000
x: 49,4000	f: 0,0000
x: 49,5000	f: 0,0000
x: 49,6000	f: 0,0000
x: 49,7000	f: 0,0000
x: 49,8000	f: 0,0000
x: 49,9000	f: 0,0000
x: 50,0000	f: 0,0000
x: 50,1000	f: 0,0000
x: 50,2000	f: 0,0000
x: 50,3000	f: 0,0000
x: 50,4000	f: 0,0000
x: 50,5000	f: 0,0000
x: 50,6000	f: 0,0000
x: 50,7000	f: 0,0000
x: 50,8000	f: 0,0000
x: 50,9000	f: 0,0000
x: 51,0000	f: 0,0000
x: 51,1000	f: 0,0000
x: 51,2000	f: 0,0000
x: 51,3000	f: 0,0000
x: 51,4000	f: 0,0000
x: 51,5000	f: 0,0000
x: 51,6000	f: 0,0000
x: 51,7000	f: 0,0000
x: 51,8000	f: 0,0000
x: 51,9000	f: 0,0000
x: 52,0000	f: 0,0000
x: 52,1000	f: 0,0000
x: 52,2000	f: 0,0000
x: 52,3000	f: 0,0000
x: 52,4000	f: 0,0000
x: 52,5000	f: 0,0000
x: 52,6000	f: 0,0000
